"COMID","Code","Sample_ID","Year","Q05","Q25","Q50","Q75","Q95","Mean","Exceed_15"
23519459,"MA","MA-2016",2016,0,1.12387896423488,4.93066800496025,9.30161506690964,12.7901610305691,5.39478829275722,0
23519459,"MA","MA-2003",2003,0.0454768381229042,0.833252133353682,3.48154736296825,9.09549369177424,14.3327231515812,5.14562101366503,9
23519459,"MA","MA-2004",2004,0,0.540781931351641,5.14711851520416,9.10782954658644,13.5658090270848,5.3223976768937,0
23519459,"MA","MA-2018",2018,0.00978728686145918,0.605522522671301,3.32606845030408,9.18391502360904,13.7366380019728,4.99647533203494,0
23519459,"MA","MA-2006",2006,0,0.688799596660832,4.04189132498463,9.16766077387917,13.918001520626,5.23125971225958,6
23519459,"MA","MA-2020",2020,0,0.480922561666239,2.92037274009507,8.90871892829834,13.3291811995762,4.91614599123161,0
23519459,"MA","MA-2017",2017,0,0.854225106081919,4.06060444159922,8.51199411078549,13.4540350557497,5.06023374761563,0
23519459,"MA","MA-2019",2019,0,0.455583881963893,4.01928690613686,8.79539390775778,12.9401838154675,4.91018547610355,0
23519461,"CH","CH-2015",2015,0.0805075129697832,1.17216546113976,3.55549546807717,8.7250228637233,11.5758029723012,4.87493483363905,0
23519461,"CH","CH-2016",2016,0,0.931912000109838,3.97169614725481,7.95011825545267,11.0861686851031,4.54904082146627,0
23519461,"CH","CH-1993",1993,0,0.664994576942218,2.67526549941049,6.4698782719881,9.38307166642173,3.68635006932297,0
23519461,"CH","CH-2013",2013,0,0.649382550146517,2.61244047698481,8.21052149105759,11.9707985823811,4.42541335377064,0
23519461,"CH","CH-2003",2003,0.000998866850877013,0.591213599072131,2.76950496464829,7.42230597108158,12.4286087656956,4.32931131126639,0
23519461,"CH","CH-1992",1992,0,0.753444480758418,3.55173793588733,7.95737129006015,11.4553534364947,4.56588002890497,0
23519461,"CH","CH-2002",2002,0,0.741544634874462,3.00534899421475,8.21137227547624,11.7900643763051,4.40153440513641,0
23519461,"CH","CH-2005",2005,0,0.898070623261059,3.03585038616597,7.40131524475979,11.8214250462257,4.50830683530368,0
23519461,"CH","CH-1999",1999,0,0.624644546062321,2.68673419256774,6.86544769520699,10.8613889311949,3.79805835721298,0
23519461,"CH","CH-2017",2017,0,0.571987503497344,3.26991813906753,6.65790226111364,11.5536312826657,4.20798822192801,0
23519461,"CH","CH-2004",2004,0,0.421466555333192,4.06131998705354,7.76267363233555,11.8232846649674,4.48402956003402,0
23519461,"CH","CH-1998",1998,0,0.450894406953615,2.61365017709822,7.00321366715902,11.9993284764767,4.19527612902783,0
23519461,"CH","CH-2019",2019,0,0.432165548050544,3.00914213055415,7.33643169547827,11.1838705062237,4.13911891191584,0
23519461,"CH","CH-2000",2000,0,0.628402039082199,3.7522802804152,7.5700644984425,11.7927210972863,4.46441239927132,0
23519461,"CH","CH-2001",2001,0,0.435026225320483,3.24476005738356,9.10432842422273,12.3212260432909,4.76377866805401,0
23519461,"CH","CH-2014",2014,0.0382921029438181,0.69906749486459,2.80814851293542,7.90069135045814,11.6802888091284,4.15825880065371,0
23519461,"CH","CH-1997",1997,0,0.356324287818265,2.00748477121022,6.75305567823515,10.4986947253478,3.72027662317417,0
23519461,"CH","CH-1994",1994,0,0.518493846191225,3.91281578467762,8.6014849596226,12.355230909635,4.74290104438152,0
23519461,"CH","CH-1995",1995,0,0.719987676477189,2.51510028086434,6.26536044680647,10.341844481119,3.75650009980152,0
23519461,"CH","CH-2018",2018,0.0658771470694803,0.477694509402604,2.60025627084259,7.86681126603548,11.9083363884527,4.23320167382463,0
