"Ptagis_ID","Year","Q05","Q25","Q50","Q75","Q95","Mean"
"BIG2C",2006,0.848465401,1.737668653,5.261675351,10.98458163,15.60983731,6.618403088
"BIG2C",2007,0.499335354,1.887038815,5.114119682,11.94273087,16.90299726,7.002821547
"BIG2C",2008,0.53712806,1.841608996,4.559769458,9.821448465,15.16343286,6.005416828
"BIG2C",2009,0.66883708,2.081657838,4.771514446,11.66194664,15.37809466,6.518252258
"BIG2C",2010,0.737763869,1.835169594,4.517035984,10.27926078,15.00296374,5.98339447
"BIG2C",2011,0.639741133,1.642521954,4.095213757,10.56465854,15.0252553,6.080142174
"BIG2C",2012,0.651416008,1.55981572,5.199588922,11.77667328,16.12686264,6.559965582
"BIG2C",2013,0.685595809,1.831795729,5.023657709,11.72851904,16.21378046,6.837490648
"BIG2C",2014,0.598707843,1.958335014,4.852187792,10.96771024,15.88363537,6.41250546
"BIG2C",2015,1.052990518,2.327707571,5.93904469,12.30922256,15.91298511,7.274478187
"BIG2C",2016,0.814684645,2.109477744,5.934437204,11.15191052,15.45829462,6.901984319
"BIG2C",2017,0.444797125,1.969721356,5.268377837,10.04688735,15.94422657,6.623597227
"BIG2C",2018,1.009370867,1.744847745,4.705295299,11.09540422,16.11509433,6.494795435
"BIG2C",2019,0.722844782,1.473535518,4.989740071,10.89033388,15.26018192,6.407779521
"BIG2C",2020,0.628914522,1.66978716,4.269878081,11.03552741,15.51812992,6.265717778
"BIG2C",2021,0.588453278,1.49527549,5.419850198,12.62988189,16.90581592,7.034594343
"BIG2C",2022,NA,NA,NA,NA,NA,NA
"BIG2C",2023,NA,NA,NA,NA,NA,NA
"BIG2C",2024,NA,NA,NA,NA,NA,NA
"BIG2C",1998,0.792248013,1.583006117,4.361537739,9.46968642,15.70683903,6.248143444
"BIG2C",1994,0.597599271,1.58365878,5.524421399,11.56749219,15.62200452,6.693392927
"BIG2C",1995,0.791972015,1.797656582,4.663847932,9.20580365,14.08480341,5.865797083
"BIG2C",1992,0.647730954,1.825854402,5.472278727,10.69451458,15.17794081,6.669049517
"BIG2C",1993,0.467969084,1.537800618,4.821164643,9.46267878,12.80154411,5.725326325
"BIG2C",1996,0.59256286,1.986738438,4.406290353,8.0452542,14.34622828,5.692871413
"BIG2C",1997,0.466365578,1.44590185,4.331545123,9.880800944,14.04942571,5.774650359
"BIGC",2011,0,0.594266326,2.269104688,8.107705941,11.69203333,4.219239819
"BIGC",2012,0,0.423417477,3.196653013,8.765161226,12.57177216,4.557181859
"BIGC",2015,0,0.829714129,3.894208718,9.817750607,12.40249649,5.184357085
"BIGC",2016,0,0.870795702,3.766591665,8.351936535,11.87160982,4.850019783
"BIGC",2013,0,0.569544839,3.04090354,9.416384862,12.5344938,4.798043535
"BIGC",2014,0,0.759029521,3.161078437,8.505999116,12.5018366,4.538196749
"BIGC",2010,0,0.653061635,2.724061438,7.681904527,11.8009061,4.152250008
"BIGC",2024,NA,NA,NA,NA,NA,NA
"BIGC",1998,0,0.392366848,2.595312075,7.325281302,12.4421706,4.379169936
"BIGC",1999,0,0.582221076,2.92452575,7.291051766,11.6616325,3.968696763
"BIGC",2000,0,0.696045336,3.46395292,7.719828196,12.04094772,4.530129829
"BIGC",2001,0,0.396525766,3.102044992,9.444637898,12.40330342,4.749916978
"BIGC",2002,0,0.678428694,3.180973069,8.457554579,12.02943557,4.651503404
"BIGC",2003,0,0.766821655,3.024527716,8.538825875,12.62979318,4.61627294
"BIGC",2004,0,0.504100307,3.614561249,8.261406174,12.29485581,4.669572796
"BIGC",1992,0,0.750865086,3.431578716,8.469613278,11.87596552,4.779859795
"BIGC",1993,0,0.666054293,3.039428894,7.066360356,10.15241685,3.947874167
"BIGC",1994,0,0.580000445,3.652776066,8.674806964,12.23813257,4.782216452
"BIGC",1995,0,0.723636107,2.924847297,6.67143519,10.9506748,4.054836796
"BIGC",1996,0,0.850753214,2.773959937,5.946418846,11.24347519,3.954799795
"BIGC",1997,0,0.40239587,2.440327019,7.437150212,11.23525489,4.042284989
"BIGC",2006,0,0.756974893,3.372195969,8.651221419,12.3678057,4.644273991
"BIGC",2007,0,0.584742661,3.354867242,9.349614382,13.16106951,5.063734397
"BIGC",2017,0,0.654607004,3.462824023,7.709765983,12.47134465,4.688204015
"BIGC",2005,0,0.863518322,3.136392962,7.628046597,12.17939977,4.682314609
"BIGC",2023,NA,NA,NA,NA,NA,NA
"BIGC",2019,0,0.44059185,3.123707586,8.20887124,12.07718516,4.490834237
"BIGC",2008,0,0.596857596,2.932762254,7.318264062,11.8564133,4.239619541
"BIGC",2009,0,0.815876222,3.126591328,8.978489285,12.0590818,4.69255246
"BIGC",2018,0,0.527964913,2.970730413,8.777174057,12.58964384,4.565191794
"BIGC",2020,0,0.539164752,2.577679757,8.536856555,12.13728172,4.364798503
"BIGC",2021,0,0.414865831,3.201607228,9.588470849,13.10647924,4.919302773
"BIGC",2022,NA,NA,NA,NA,NA,NA
"CAMASC",2019,0,1.09027162,5.159013433,10.722621,15.29424783,6.260201068
"CAMASC",2020,0,1.168609036,4.18125765,10.53059166,15.09696157,6.091826098
"CAMASC",2022,NA,NA,NA,NA,NA,NA
"CAMASC",2023,NA,NA,NA,NA,NA,NA
"CAMASC",2005,0.247760924,1.699621648,5.282969069,9.943320507,15.2093982,6.285558128
"CAMASC",2021,0,1.003848913,5.57201027,12.68660071,16.46282755,6.886318573
"CAMASC",1993,0,0.931629546,4.839283604,9.52432998,12.67165005,5.522287212
"CAMASC",1994,0,1.065268219,5.580038795,11.49146591,15.31319684,6.650324851
"CAMASC",1995,0.255305573,1.278468145,4.260220366,8.819479004,13.80960628,5.566706786
"CAMASC",1992,0.015233534,1.309083732,6.154758268,10.81968406,14.76130173,6.47345607
"CAMASC",2006,0.27069428,1.272939274,5.400686778,10.77641731,15.229605,6.315138679
"CAMASC",2003,0.284608561,1.46072802,4.784994692,10.85556658,16.43013622,6.322746471
"CAMASC",2004,0.082606114,1.313962824,6.694053006,10.44123927,15.10268222,6.524894675
"CAMASC",2018,0.327963195,1.179743359,4.999305699,10.95436169,15.86093622,6.285055196
"CAMASC",2024,NA,NA,NA,NA,NA,NA
"CAMASC",2007,0,1.475229363,5.377807034,11.51172784,16.47535554,6.712139912
"CAMASC",2008,0,1.379893397,4.551314517,10.16735427,14.73170197,5.766374291
"CAMASC",2009,0.005200089,1.652892905,4.805768859,10.93700345,14.87247542,6.123781812
"CAMASC",1999,0.246273747,1.297119203,4.66682942,10.22045373,14.52672937,5.681261198
"CAMASC",2000,0.206380644,1.516589724,6.141465149,10.18722478,15.24159055,6.509176231
"CAMASC",2001,0,0.946499512,5.037600269,11.50129376,15.42889523,6.433875432
"CAMASC",2002,0,0.883443207,5.008750732,10.95051881,15.0806246,6.247752072
"CAMASC",2017,0,1.546954158,5.397842093,10.78299725,15.62202233,6.468315095
"CAMASC",2013,0.00182331,1.405540508,5.611251722,11.97087114,15.9876658,6.668786537
"CAMASC",1996,0.098190446,1.801327661,4.247452132,9.544554827,14.44234369,5.639918031
"CAMASC",1997,0.055724044,1.121516562,3.91493309,9.781716445,13.79006118,5.546115089
"CAMASC",1998,0.069306667,1.043426094,4.372412716,8.961930556,15.14595109,5.837384199
"CAMASC",2012,0.077830284,1.100767224,5.231919378,11.27576888,15.68577151,6.443755542
"CAMASC",2014,0,1.698558721,4.962750189,11.09653176,15.61549793,6.258811378
"CAMASC",2015,0.207298547,1.651260886,5.989502194,12.05708097,15.54980916,6.931514752
"CAMASC",2016,0.149308791,1.669963085,6.780842477,11.08642981,15.42910409,6.82785789
"CAMASC",2010,0.013137628,1.272729676,3.878177186,9.529861474,14.65784043,5.498260991
"CAMASC",2011,0.04702963,1.146796744,4.003670049,10.75625686,14.57154624,5.861211384
"CAPEHC",2015,0.080507513,1.172165461,3.555495468,8.725022864,11.57580297,4.874934834
"CAPEHC",2016,0,0.931912,3.971696147,7.950118255,11.08616869,4.549040821
"CAPEHC",1993,0,0.664994577,2.675265499,6.469878272,9.383071666,3.686350069
"CAPEHC",2013,0,0.64938255,2.612440477,8.210521491,11.97079858,4.425413354
"CAPEHC",2003,0.000998867,0.591213599,2.769504965,7.422305971,12.42860877,4.329311311
"CAPEHC",1992,0,0.753444481,3.551737936,7.95737129,11.45535344,4.565880029
"CAPEHC",2002,0,0.741544635,3.005348994,8.211372275,11.79006438,4.401534405
"CAPEHC",2005,0,0.898070623,3.035850386,7.401315245,11.82142505,4.508306835
"CAPEHC",1999,0,0.624644546,2.686734193,6.865447695,10.86138893,3.798058357
"CAPEHC",2017,0,0.571987503,3.269918139,6.657902261,11.55363128,4.207988222
"CAPEHC",2004,0,0.421466555,4.061319987,7.762673632,11.82328466,4.48402956
"CAPEHC",1998,0,0.450894407,2.613650177,7.003213667,11.99932848,4.195276129
"CAPEHC",2019,0,0.432165548,3.009142131,7.336431695,11.18387051,4.139118912
"CAPEHC",2000,0,0.628402039,3.75228028,7.570064498,11.7927211,4.464412399
"CAPEHC",2001,0,0.435026225,3.244760057,9.104328424,12.32122604,4.763778668
"CAPEHC",2014,0.038292103,0.699067495,2.808148513,7.90069135,11.68028881,4.158258801
"CAPEHC",1997,0,0.356324288,2.007484771,6.753055678,10.49869473,3.720276623
"CAPEHC",1994,0,0.518493846,3.912815785,8.60148496,12.35523091,4.742901044
"CAPEHC",1995,0,0.719987676,2.515100281,6.265360447,10.34184448,3.7565001
"CAPEHC",2018,0.065877147,0.477694509,2.600256271,7.866811266,11.90833639,4.233201674
"CAPEHC",2012,0.102107597,0.534211788,3.005780653,7.854756643,11.7395971,4.196942827
"CAPEHC",2009,0,0.714220352,2.80245103,8.325690863,11.15921342,4.232918451
"CAPEHC",2010,0,0.55067864,2.477712221,7.006100252,11.04275551,3.830159094
"CAPEHC",1996,0,0.901073375,2.551375537,5.408018348,10.99187122,3.765112712
"CAPEHC",2007,0,0.572024492,3.085309889,9.296786168,13.28089724,5.019691506
"CAPEHC",2008,0,0.58791434,2.654581121,7.329462332,11.33349299,4.055468067
"CAPEHC",2023,NA,NA,NA,NA,NA,NA
"CAPEHC",2011,0,0.714504223,2.155395694,7.321705585,10.72616241,3.887576051
"CAPEHC",2020,0,0.466248962,2.254697296,7.758011979,11.5008278,4.172833697
"CAPEHC",2021,0,0.478942759,3.213445965,9.030081393,12.66611563,4.668791967
"CAPEHC",2022,NA,NA,NA,NA,NA,NA
"CAPEHC",2006,0,0.792856287,3.195277958,7.842204358,11.98601196,4.399914524
"CAPEHC",2024,NA,NA,NA,NA,NA,NA
"CHAMBC",2008,0.01519824,1.073143412,3.828544985,7.995138304,13.12931315,4.88531232
"CHAMBC",2021,0.062079898,0.830507906,4.242113136,10.90883129,15.11375732,5.949410487
"CHAMBC",2009,0.215765433,1.251875834,4.007068769,10.00322124,13.43818423,5.354141774
